Column Name,Data Type in Teradata Base Tables,Data Type in Teradata API_PRVDR_PROFILE View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
LEAD_SRC_CLSFCTN_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
LEAD_SRC_CLSFCTN_DESC,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
LEAD_SRC_DESC,varchar(4000) character set latin not casespecific,VARCHAR(4000) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(4000),String
LEAD_ORGN_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
LEAD_ORGN_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
LEAD_TYPE_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
LEAD_TYPE_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
LEAD_SUB_SRC_CLSFCTN_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
LEAD_SUB_SRC_CLSFCTN_SHRT_DESC,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
LEAD_SUB_SRC_CLSFCTN_DESC,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
PGM_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
PGM_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
ZPIC_ZN_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
ZPIC_ZN_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
SUBJ_TYPE_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
SUBJ_TYPE_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
PRMRY_SUBJ_NAME,varchar(257) character set latin not casespecific,VARCHAR(257) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(257),String
PRMRY_NPI_NUM,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
PRMRY_PRVDR_PTAN_NUM,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
PRMRY_OSCAR_NUM,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
REC_TYPE_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
REC_TYPE_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
USER_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
USER_NAME,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
REC_OWNRSHP_ORG_NAME,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
ASGNED_INVSTGTR_NAME,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
LEAD_INVESTIGATION_FLAG,varchar(13) character set latin not casespecific,VARCHAR(13) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(13),String
UCM_MGRTN_FLAG,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
UCM_REC_STATE,varchar(5) ,VARCHAR(5) ,string,String,varchar(5),String
UCM_CASE_ASGNED_NAME,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
ASGNED_ANALYST_NAME,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
DATA_ANLYS_INSTR_TXT,varchar(1024) character set latin not casespecific,VARCHAR(1024) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(1024),String
UCM_PRVDR_PTAN_NPI_NUM,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
PRMRY_PRVDR_ID,"decimal(20,0)",FLOAT,double,float,"decimal(20,0)",Float
RPTG_SPCLTY,varchar(1000) character set latin not casespecific,VARCHAR(1000) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(1000),String
PRVDR_RPTG_SPCLTY_IND,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
UCM_CASE_OWNR_NAME,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
CASE_PRRTY,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
DAYS_IN_STUS,integer,INTEGER,int32,float,int8,Int
ALGTN_CNT,integer,INTEGER,int32,float,int8,Int
ADMIN_ACTN_CNT,integer,INTEGER,int32,float,int8,Int
CMPLX_MR_CNT,integer,INTEGER,int32,float,int8,Int
POA_CNT,integer,INTEGER,int32,float,int8,Int
RFRL_CNT,integer,INTEGER,int32,float,int8,Int
CASE_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_CASE_STATE,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_CASE_PRVS_ASGNED_NAME,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_REOPN_RATIONAL_TXT,varchar(1024) character set latin not casespecific,VARCHAR(1024) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(1024),String
TSK_ORDR_TYPE,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
RULNG_TXT,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
CLM_TYPE_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
FRAUD_CASE_CLSD_RSN_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
FRAUD_CASE_CLSD_RSN_DESC,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
UCM_EDIT_USER_LST,varchar(4096) character set latin not casespecific,VARCHAR(4096) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(4096),String
SRVC_TYPE_NAME,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
UCM_QC_SMRY_TXT,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
UCM_PLCY_VILTN_TXT,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
PRRTY_CHG_RSN_TXT,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
SMRY_RSN_TXT,varchar(1024) character set latin not casespecific,VARCHAR(1024) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(1024),String
BILL_TYPE_DESC,varchar(16) character set latin not casespecific,VARCHAR(16) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(16),String
CREATR_NAME,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
LAST_MDFR_NAME,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_CLOSE_DESC,varchar(1024) character set latin not casespecific,VARCHAR(1024) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(1024),String
UCM_OTHR_ALGTN_TXT,varchar(256) character set latin not casespecific,VARCHAR(256) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(256),String
UCM_CASE_CLOSE_OPTN_TXT,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_UPLD_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
CPT_CD,varchar(16) character set latin not casespecific,VARCHAR(16) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(16),String
HCPCS_CD,varchar(16) character set latin not casespecific,VARCHAR(16) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(16),String
TSK_ORDR_NUM,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
CLIN_NUM,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
CNTRCTR_TRKNG_NUM,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
EXCTV_SMRY_TXT,varchar(10000) character set latin not casespecific,VARCHAR(10000) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(10000),String
CASE_RCVD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
INVSTGTN_STRT_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
CASE_CREAT_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
CASE_AGE,integer,INTEGER,int32,float,int8,Int
CASE_CMPLTN_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
LEAD_CLSD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
INVSTGTN_CLSD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
MDCR_INVSTGTN_STRT_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
VTNG_DTRMNTN_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
STUS_CHG_TS,timestamp(6),TIMESTAMP(6),"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,String
UPIC_EDUCATION_DATE,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
LEAD_VTNG_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
RFRL_CREATD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
ADMIN_ACTN_CREATD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
ADMIN_ACTN_IMPLMTD_TS,timestamp(6),TIMESTAMP(6),"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,String
RULNG_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
SRVC_FROM_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
SRVC_TO_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
IRP_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
DME_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
HH_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
PTA_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
PTB_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
PTC_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
PTD_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
RRB_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
FPS_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
IMMED_ADVSMNT_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
ZN_RSTCTN_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
ANNYMS_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
LEAD_VTNG_PRVDR_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
HOSPC_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
MDCD_FFS_TOT_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
MDCD_MCO_TOT_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
MDCD_FFS_TOT_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
MDCD_MCO_TOT_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
MDCR_RISK_DOLLAR_AMT,"decimal(26,2)",FLOAT,double,float,"decimal(26,2)",Float
MDCD_RISK_DOLLAR_AMT,"decimal(23,2)  not null",FLOAT NOT NULL,double,float,"decimal(23,2)",Float
OVRPMT_DMNDD_AMT,"decimal(22,2) ",FLOAT,double,float,"decimal(22,2)",Float
OVRPMT_RCVRD_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
DME_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
HH_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
PTA_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
PTB_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
PTC_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
PTD_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
TOT_PTA_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
TOT_PTB_DOLLAR_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
HOSPC_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
RRB_AMT,"decimal(22,2)",FLOAT,double,float,"decimal(22,2)",Float
UCM_SFT_DLT_RQST_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
UCM_SFT_DLT_RQST_APRVD_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
CMS_WATCH_LST_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
CMS_WATCH_LST_DUE_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
CMS_WATCH_LST_DESC,varchar(2048) character set latin not casespecific,VARCHAR(2048) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(2048),String
UPIC_WATCH_LST_IND,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
UPIC_WATCH_LST_DUE_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
UPIC_WATCH_LST_DESC,varchar(2048) character set latin not casespecific,VARCHAR(2048) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(2048),String
FPS_ASRPT_CASE_ID,"decimal(20,0)",FLOAT,double,float,"decimal(20,0)",Float
UCM_FPS_ASRPT_ID,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
UCM_FRAUD_CASE_RPTG_FACT_ID,"decimal(20,0) not null",FLOAT NOT NULL,double,float,"decimal(20,0)",Float
UCM_CASE_STUS_DT_SMRY_FACT_ID,"decimal(20,0) not null",FLOAT NOT NULL,double,float,"decimal(20,0)",Float
UCM_FRAUD_CASE_EXTNSN_FACT_ID,"decimal(20,0)",FLOAT,double,float,"decimal(20,0)",Float
ADMIN_ACTN_REC_ID,varchar(512) character set latin not casespecific,VARCHAR(512) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(512),String
UCM_LD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
UCM_UPDT_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
SRC_SYS_NAME,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
SRC_SYS_UPDT_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
SRC_SYS_UPDT_BY,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
UCM_PROC_NAME,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
SRC_SYS_UPDT_NAME,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_UPDT_NAME,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_DT,date format 'yyyy-mm-dd'),CHAR(10),string,Date,date,String
OPI_LOAD_TS,timestamp(6),TIMESTAMP(6),"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,String
